,femaleASspeech,maleASspeech,femaleASsing,maleASsing,femaleMC,maleMC,femaleLM,maleLM
156,5VweN5MDLl8,J5IdU_DCYLU,6KvQEovLwYM,2eoz_HkiIBw,zGBKakEGSyc,uiHyWdYkBvY,Woman00263.wav,Man00968.wav
157,WqK-XlzSXQA,HtqQ6GFDbjw,-V3cA9yzJho,5p75PfG41IA,xl4FJzeU0YA,iFWtsT5zRKo,Woman00373.wav,Man00930.wav
158,im-MDYNkQnU,z_PRYNSs5TI,0R03FfHsGps,1G38UXfFX4Y,1ToIyrmWFjw,6UJhTZgnVro,Woman00341.wav,Man00309.wav
159,A8q5ZSf1UIM,6msuefYTO-U,5FXDs-KjnQg,7KdgTx1yzpo,4PNPgaLKFlc,THfTLXBLpJE,Woman00670.wav,Man00064.wav
160,OMFDLnBcM4c,N8mXr2Cbejk,7Ft4sKeN-VE,2ieDrRxCY0Q,Nep_3Y81E_w,5s0yPPrQWxs,Woman00393.wav,Man00337.wav
161,tX2Ci5qgsVg,-TdrrJlti2c,78Bt4lB6QNs,1uZnxAntxag,t8SLY7xn7Sc,mOn13E68Td0,Woman00615.wav,Man00955.wav
162,QlTtQdDpWbI,19tT_OgQT4k,6EYyk3asK-k,0fMXAJw9-dg,Hij_QxDkIJI,tc7crRl2JqA,Woman00391.wav,Man00615.wav
163,wOC8GhXGRQM,-4eyOzupAvA,67x7crxeuBU,SEUm4N5A8zs,y_lfY0uzmr0,gjujPd1lP8E,Woman00975.wav,Man00458.wav
164,jEa5q_TCf44,a-wvCVEEVTo,5fVahy3FowU,3tgBm1tJmqs,f3l6KnC8930,5QtjEBcZR6M,Woman00333.wav,Man00852.wav
165,KjKOHw_XwP8,9XsPm0xcSgw,NHOQYHqCQHg,5Y9ZkePCQ8w,60OIHit4Q-M,sC7T0sEG6ek,Woman00925.wav,Man00665.wav
166,OOmPp2Toqo4,-YeJKVIcPGw,-_pTlr46DvY,2c6F4QBvhCk,5iPTcL50mvw,P1Vxm_ICSG0,Woman00317.wav,Man00612.wav
167,7Ocp1AF7niY,0nwvvx5RRI8,3HV7M4sP6tE,0XuMgq2XZJE,HdRPdh-cSTw,EremEyLrdUY,Woman00062.wav,Man00557.wav
168,ESOu5e09YMU,Kudw0hNwr7U,KwBB3CGtiC0,1ym5GX8FhE0,bkYWnzw_5Bs,usrzF-0GbLY,Woman00643.wav,Man00805.wav
169,01VfNWBAK0I,6ao7KX1pJCw,ZmYb8XVgAyE,5WRDVktEqPE,kAAGkKPVgZ8,sfmAeijj5cM,Woman00846.wav,Man00315.wav
170,yvDATfufDCE,g3E6-QcY_6Q,2s0khzfN2Pc,2fBPh7JnKgk,kjn6I3AurgE,mpymEs4Mcw8,Woman00620.wav,Man00328.wav
171,j703BTNO-60,9V2BDuYkaOE,5MkqX9J7-oU,-vqSxMHqy2I,uAgizG1hYw0,FENJIDecy5s,Woman00741.wav,Man00781.wav
172,eqWyBPqrImA,7RvCsPhtJfA,3VQQ7Qa_UYQ,6VySI1cqR0w,zbCqre50eLM,qie2k2gZ7wA,Woman00761.wav,Man00507.wav
173,PjYzuei_Pvg,-2Lu0SNCewQ,_2RpOkp2kD0,-B8a7An5Rqs,i70a79YhlMk,pCW5ab3SNcQ,Woman00614.wav,Man00275.wav
174,z_wYYnxAMJo,SPezfHvNlPo,46nsBVYcN-8,2wA6jZtOwZg,oZScu7DU5qk,4tF0Lt9VEp8,Woman00617.wav,Man00118.wav
175,6Se3TopoAqc,chzU_5BIcAA,1L8btIjVnpg,0-OIEIYxqd4,v88cAXP03As,wgIf0FX6WzI,Woman00462.wav,Man00710.wav
176,1APWP5AI4yo,-Yus8Ut2fUE,62XrOznv0yM,6tVcUEcVb7o,A0XXmVts1y0,giPa2vVEyVc,Woman01015.wav,Man00969.wav
177,DIGMegi9Uhs,875HnFhDSpg,6R_EUrm4c4w,-Vo6NfnF_FM,YWf3I4jKusI,LgKOnHwaCmg,Woman00992.wav,Man00540.wav
178,biJs7XXQuVw,6MPhLxe7cGA,6GW77rqGw4c,084qs8iSI20,sJzb2AhqkSg,4PGzlwvXMnE,Woman00286.wav,Man00266.wav
179,djwtgG9VFr0,X1CedVJMcr8,56GTq57awC0,4U_csQUCcow,0_hH79HnEdo,ot6SpwD1hzk,Woman00251.wav,Man00270.wav
180,6o5uTV2cqMU,9RDuFxuNkjI,2o9mFmfJLpY,1ZXJg5dJihM,Bl-lCgr5hGY,ZoAfkpmztww,Woman00478.wav,Man00649.wav
181,65me0Xyv79c,zy5BNm-EnIo,4rUuFCGJiTo,0HSBmrGV8XA,CgK0DU3KFBc,2bCuw7U_Rac,Woman00769.wav,Man00846.wav
182,BynET7JF52s,5lgHVr4_lJM,41s9LYgsrkI,1T8rJCOIvCA,5gyMt0YzPQ0,ftKCLRd9_no,Woman00113.wav,Man00440.wav
183,EwlsJzRr9Q4,38vG-5AbCtA,79IMN9YVx0Q,5-uJQd_ycic,dalyCstquy8,pLqa0cqsICA,Woman00493.wav,Man00645.wav
184,zJRWyXo-f8s,9juU4zwoPks,-7UbIGSWUGs,08CUk7MQ7-Y,Uxyu3XwXEV8,YAVVMxqtxGE,Woman00513.wav,Man00391.wav
185,Art8wTJOMxk,ZgRJBUs8p4A,6ajqO8I4fdE,0gL5IEBDuH0,lOIzOWKd47E,_b5n-mny1lM,Woman00638.wav,Man00444.wav
186,-Stm1mHROCY,clw27T60uis,7HKhF8JMsHM,2ijBVb7AJA4,ZLxhZcS3Ppw,3Xoz87_SUdw,Woman00499.wav,Man00754.wav
187,CnJ7JRPVS0M,noQnwW-hkGo,1rExPp_C_z0,529Yo3JRgec,ETl0hYRlVmg,e1PG31QlQmc,Woman00963.wav,Man00146.wav
188,CcsSC4pLAMM,QayeAcHLP3k,0LOQEd5GYPI,-1gyUUFu5aA,qjH068GOmQ4,5nJr7iar6ZM,Woman00559.wav,Man00367.wav
189,hRvGPsva138,4tgBLCfrAA8,4wY1LOP6-is,5q0_r_3K2FQ,gNpzuFPu6q8,MM0seezR2F4,Woman00759.wav,Man00541.wav
190,CKYS-fldJpQ,-6QX3C0u2qI,6S43d2Kb_jo,6o1z98BEw4k,UsHtZ7Bzi0s,BeFjxrUwAC4,Woman00757.wav,Man00231.wav
191,HKpQ85g0Tw8,flOF1S5kcPY,05-up_opIdc,6s98hR356cE,dbenNuhAW_I,6YXjJ6ABnZU,Woman00650.wav,Man00777.wav
192,RoQgMsKGZbM,yHoA3ZZcC0k,-LtnQhMG--o,09ZnJL7_EaM,1JqNiV03kog,2umjh27MkjU,Woman00399.wav,Man00610.wav
193,8dkVfZKiWs0,JeuAmAMHqgw,6GW655-P8R8,2Ji5896vft8,2YQPwRLB1s0,nc6h6rC3wdk,Woman00307.wav,Man00572.wav
194,nKWYQZ90x6Y,ju04mCsa_Hw,-Z99ulqh10o,1j1CEJ8g57E,mQ1E8rx2dnI,yO7MWuJ7zLA,Woman00755.wav,Man00373.wav
195,UauZ9rFmI5A,4ZoemLdJBio,21vo-1B8g08,3WvDFDxYKoY,K9zE9x2ccJk,EPvnkbo5wrI,Woman00140.wav,Man00538.wav
196,9lDOklgmu8s,j59aM16p_po,4koa6vssoSA,2oqWn0WIp9w,pqsU95TNNP8,LzSWdj4izHM,Woman00375.wav,Man00218.wav
197,YbLi9HS2ff0,S32yk3hRYZ8,-IZLK6bGOaQ,3R9NgQTejzc,UDS6PrY9ZIM,OM04OFjNPGw,Woman00811.wav,Man00422.wav
198,oTyH2PRssNQ,ADG-n-yjqr0,42PP6zHNAgA,BGd1Jr4SsXA,LWHUat2fo9w,on18CWdmxn8,Woman00480.wav,Man00344.wav
199,1yKyj281xQc,-O6Y4V8QA8U,4g2N5GTClJw,0Oq66p2y_Ik,W00eTCOgUNs,dMAp3dvs3kE,Woman00777.wav,Man00220.wav
200,QT1Ruf_olOA,14S_r3opEFY,6N2gq4JmZ-c,wQ5gDDWS-7M,ba5xPgcHN_0,bLjOJRg2P_Q,Woman00621.wav,Man00360.wav
201,uDwkiKdc5g8,JgK7iC7q-_A,uBwN3k4Ourk,InlWzugfsOY,dSs4xfvATjc,Fsm-xDmyFKg,Woman00801.wav,Man00084.wav
202,AFflFlQ4prw,0FLWL2uj3ws,3JftE9ZFwv8,6TUo6RXg4tY,ucSF9NIxK8A,TObYoD2pGb0,Woman00216.wav,Man00031.wav
203,oF4Ipsd6pIk,bhNTiOMubjg,5FXLU7ognI0,-kDnZg6ilSo,emDU4QvdwVk,GUwBLItoJXk,Woman00215.wav,Man00290.wav
204,7S0ruvRSZWg,7FEpTq1yVgI,N7Fw_gi5ZW0,2WODKSKo940,svNayU6q3Dg,8ynjAtF5VnA,Woman00971.wav,Man00599.wav
205,X6fuQcnvhkg,ts32pP6deic,7O5V8Qto9cQ,4nnTuoo3ZYA,tV2m7HFJprU,52GYcHTcCgs,Woman00431.wav,Man00773.wav
206,LV4jmo7bfUA,K_MrwzQQJkA,-thZTRNgdfE,4oUupoDNjgk,q7s7C4oNlFo,GOujNXEtDmg,Woman00352.wav,Man00801.wav
207,EcqHs-Deau4,uJRYdrFbm9w,6NFa_51gXfk,2ZpktPYjzTA,qrzNABqN420,pWHkmo9Kn8g,Woman00224.wav,Man00299.wav
208,7e_SgrZo2nU,H3TdvVyFcRA,52WOzWr0EiM,3li5nSoU1F4,9nVpyqfyBSE,KiFQFxJphjI,Woman00805.wav,Man00175.wav
209,nek_z8tC5I0,6mHxCcCtz6E,bjsMyxINvNI,lG_QZazQwJo,VCusyLPrFCo,8Y0FRjkX9xI,Woman00081.wav,Man00619.wav
210,wtFi2FlsjfM,z1pWfrHfh7o,45vC_rTxPlY,3q1bBmJLxSA,zgI-Lr6Pbcs,dW4eW0Xreik,Woman00031.wav,Man00897.wav
211,cOfFUhHBuuc,7jac_kCcOPs,1VeWhSDft7Q,6kcg2VdMZio,z2kTJ6pQ4Uo,DysXetu2I0E,Woman00543.wav,Man00739.wav
212,WSB_f5WrtNU,YrtszeK0ooY,kz-Z9Nuiu-U,-r6yxnXaMXU,C8VECv8kicU,T0OFKHj6878,Woman00320.wav,Man00069.wav
213,XX__EX2bOyI,Y4ffTkLJHuk,0dJeeXE7gJM,J927Cfk21N0,PqN7aT4dVN4,3KdyWJ6wTOw,Woman00242.wav,Man00151.wav
214,qBWrthgTvE4,Z3lG3_pDF5A,4g3eTt_kVP8,3bgdzMSw_ic,BscoQHJrNm8,1YPYQP6yupA,Woman00714.wav,Man00285.wav
215,1q5fJHQQXlo,CaRd7rbZeMw,-eg3rbCUotM,-jLi-77yJ7M,_n9boKzVRhs,BhJa0kTUdGY,Woman00724.wav,Man00858.wav
216,sOIZHRtgaRE,5BrXmMT-KOI,1SuEn5YXZp4,6HRCq2h3l9U,sU08gu2zJ4c,u0lm58cet1g,Woman00168.wav,Man00670.wav
217,fDYjGir5znc,mb0ZivnCVj4,0c9GXDn_ueg,38Qe1ram6fo,NLQts9t7d8k,7y9RfZXJZsk,Woman00583.wav,Man00478.wav
218,akuZwb-RL0Q,32uEeCEV0MU,6fKq9B0ErdY,1vYCK_x9qDs,zGONTDY_rNM,Uc_1PzGr5xw,Woman00956.wav,Man00685.wav
219,pa8ZfEgFLfk,1aCSRbVLQsA,6dGxzxwed7I,20qQSvMC2Hw,uNUx8rqcy0M,PnJx0uLJ_oE,Woman00546.wav,Man00329.wav
220,qI6h0n86oak,eARYkXZ_5RA,1psSoNPC_Ig,2iPzMb2tjW0,At5v5ZZQHmw,nyLpME6YH20,Woman00067.wav,Man00409.wav
221,SIkvB0V6ZLQ,P7RKU5DIlkU,4s_P2cujmRM,-Im2WIs0yc8,ZbdmiykoJm8,H6qzijVEqZQ,Woman00144.wav,Man00316.wav
222,r4QTdTzImbI,ACYOIyo-mv8,51JXYDPAfSM,5qgTL9mvX3A,WditOomsdRU,5ZX9Ig7XXsw,Woman00272.wav,Man00317.wav
223,nInMkI3FRSc,24Bwjy8rHSs,39zOM1J6Z7U,iUJcDOdKUN8,XalMIYYgHt0,UHvYrO1IGCc,Woman00906.wav,Man00851.wav
224,19rdKfXEYeQ,92Q19_vhxDE,1HJfwanmZ5Y,-wQt-Vl3NoU,PQrYV7hJWDg,i_d4JFg-zT0,Woman00497.wav,Man00343.wav
225,3kMLZrzGmiw,A7-ZM8viNS0,2NAuutyqFps,55_nHLs1Mfo,ar4YQ_DOcyk,4GlH0-KhInI,Woman00331.wav,Man00053.wav
226,VI17evdc02I,MKdV4N_VDAU,30E91O1BbaI,4GSgIsRTXOY,j4A1ObGurUk,lwQVcLxFBIQ,Woman00691.wav,Man00848.wav
227,091DDL2j3-I,-w9h7gBj2I4,3GRQF9kOxmY,vWTmhGDBE7M,J0t4VMnXDNM,9zmQwBUFwd4,Woman00266.wav,Man00004.wav
228,x9e-qvUkGXU,suf7qbVxNaA,6NVOk3RNEng,3vR6QKjpXuA,sIA-IuTI7AY,0M7nETLOsKQ,Woman00475.wav,Man00561.wav
229,crXTRUmCqFk,2tFJUHuIFnY,1cR5GappWg0,4xgX1kfScyg,fsXfBoNcLeM,qFo_gRhW6dQ,Woman00822.wav,Man00362.wav
230,A8lERWex2P8,1cL8P-_ZgiQ,705h5-bMNFc,-KN8aM8jlRo,evG8CQRCdV8,eOmQbJljnqE,Woman00227.wav,Man00935.wav
231,RvgBkTxqaGI,fyuc8AlMcs4,51plA25XBAY,3IfJ3qxepoo,OzaVvthCvtk,o8FsD7l5er4,Woman00284.wav,Man00976.wav
232,BO0AlGjk3U0,GxyOwc4P5N0,4CBIQjRXk2c,lFSZzzhp5BQ,ZFG9jHrLtBE,MHkfPjW0aRg,Woman00968.wav,Man00356.wav
233,xQ7rLCWtiUw,BpB71-NhlyI,5kdUJFXiCfA,2cTuUAzfxBs,KzydTOkZty8,hFj0KUzofNg,Woman00435.wav,Man01031.wav
234,nN0NUJhqtfo,4g8KsXeh73s,-mN2Mmb7dGQ,14MqfShL_rE,IQbzpgmi4Ec,05OJDYeHLMc,Woman00322.wav,Man00847.wav
235,DW1K8H9dlAc,89ATDXSJfCA,46_u9qXjXIU,7E-_xF3NJIw,3QNFY4MKTy4,30tNWUyJCog,Woman00051.wav,Man00595.wav
236,4mib6x-088M,mRUEYyXTY_k,-L4u_SqrBH0,31y9TPm8NYU,fhWzjWZqzvs,WTVC7ZI9WtY,Woman00754.wav,Man00035.wav
237,xXgOaEiV4wQ,5UdeHgiXqFg,2ijQgz1kIE8,6tn_sgoSvgg,Nt0U-CXK6O0,XvtL_TTLXHY,Woman00004.wav,Man00033.wav
238,VbTIshjem8o,1-wdrZMz8g8,76hoLVi_Eo0,4RScAmjbusc,6807299U5eg,eJFZuX0WHgk,Woman00566.wav,Man00241.wav
239,aP6T3sAHAFs,H0slU8H4vjo,ClBoHgLCX9w,27Dy2HqweQs,3gh1oldZ7Zc,S_Z7o4OmU30,Woman00587.wav,Man00775.wav
240,hA9BVZWmAEk,n9yjO1hIG8k,4SVL_0YoGGA,3YnFCCNHtio,ChCdYoDz7CY,ZkmtfBzpQlI,Woman00937.wav,Man00202.wav
241,3Y0NYGdfJQQ,E2iZO5gz_Xw,-G5tvMM6N2I,4iGTfCkaQwU,j43Dwqzd8w8,-7B9tPuIP-w,Woman00557.wav,Man00527.wav
242,F0wHj1Kxtdc,cp4yc7RO05Y,6XwnGN7QBrk,-1bcj2TKFMI,JvqCsVj0I4k,6cQbxwbBqqI,Woman00700.wav,Man00005.wav
243,7HD80EUZEvs,3L1XIEy92iU,31rSNmtFKR4,1AYclzxuVjg,r4G71I1dFpA,uYCMVgUAwnM,Woman01031.wav,Man00214.wav
244,snjuWgZZ0c0,1FrddSb4iyc,6Dcb4611FI0,02aWBcrtUOU,IUD_ZYOh2MM,7jWRIjFaoeU,Woman00508.wav,Man00552.wav
245,JRL0qWG_5F8,BiPHxewE_KQ,3jPvzBbfueI,AAYEBCLS2pQ,3u9OO9Og0Gc,lV0-LMVpZLg,Woman00599.wav,Man00677.wav
246,XDYJyk0v0Ko,3U8VuU6AMY4,5pclyNFlbyE,4NoFqD-OEmE,7Mv4eKPe850,AUs5OVYg078,Woman00035.wav,Man01014.wav
247,FhHaYIDm7PE,2bDqxE3h270,3uNTtQoROXo,1lDPX81pX6c,32C6w8V7TX8,wKE9STHwX-Q,Woman00033.wav,Man00117.wav
248,Aeqrl3LGh8o,4DrqZfZnF5M,-prvzOm25fg,4Xc8Kah9ifM,NsYVaRI6rXg,5mLYN-F2Oek,Woman00238.wav,Man00616.wav
249,6dZCNeCEsxc,81fVdGcWvt4,-rBv3uKtH2U,0_1Ch8B9vZw,7e46Hfy5j8g,HkCYA4ax4jI,Woman00775.wav,Man00083.wav
250,BU8TP2mH9-A,CLVOUrlO4QY,0kxlndsypz8,4saJQylzgCs,4Ua6i_VDYU4,H18aK9HhNSM,Woman00196.wav,Man00091.wav
251,IAKiCdD0hkE,4OV5W4TknN8,0jrnjfN4TtU,0EgrO2QHIpU,AobHGHJSd-s,MwK9HYjeeN0,Woman00904.wav,Man00539.wav
252,j4J4SyiCzvM,jlhdwiyaDzE,6hNY-xX4tDk,254rO0rYoh0,YErpnsceZw8,BjAL68IMlp0,Woman00005.wav,Man00088.wav
253,1D_Q3l_tHeY,D5cuXiBnpEI,6WC3SL5y5iQ,5ADKn3yNST0,Gz8RlHf3Czs,PwmXO0J-PAA,Woman00210.wav,Man00264.wav
254,mPeDnI9hzrs,1_W3NF4CEqI,7EDhKFQIVIU,2NV4ATzu2uc,piY4mt4F9xg,tdTT6rmkk9M,Woman00344.wav,Man00785.wav
255,-CHZ7OM1agU,AoV0vypYyy0,3JtSn8gZDw0,5IZQJasj2hY,b6hr31Qaemg,0PMFAO4TIU4,Woman00597.wav,Man00439.wav
256,1ehMBHY_pcg,6SVcV8c6hKY,63pBuKLV4LE,2m9GV3fCHn4,uF1KTW5rT-s,vmz9kAEiTSc,Woman00343.wav,Man00938.wav
257,C39uHcVZNIY,yVRVuskgcs0,31rJ8c6QTnE,0cPXwxv-g5w,hDsA_ky9Hfw,mGU4ZRstxpY,Woman00080.wav,Man00536.wav
258,TTLPEMPCO6A,5hNt26_fha0,2TaJjbKcjUU,0oFoIWXULns,whIj6mrUGzQ,zCGGb7Eh_f4,Woman00087.wav,Man00480.wav
259,HwPqWcxO1rY,shtWfwAgZcg,PKjdzkqFB0s,-W0yrujOstM,JUwu4xOs8K4,IiBgER0W8iA,Woman00305.wav,Man00659.wav
260,vsPlWV_3kJI,KWaqkY8prbk,-Jt7s1J-tkI,6FRw-IIWcjk,oRVivXC83hA,w41gqTFYh08,Woman00085.wav,Man00007.wav
261,4gAVXFtqTyI,2K6S8q397FI,2KK6jQ2ON5U,1NFccqgrl8s,0H3FAoDgzhI,ZM0imDMXuw8,Woman00367.wav,Man00416.wav
262,4Ih95WHj8Sk,KInA9VAU-gw,6EbPSCmg-m8,3GXhX1MpGFo,C5MhO2HM2Wg,rh0vBy1JD8A,Woman00791.wav,Man00481.wav
263,CQTtQ--UqhE,a209xEeJjL0,6FzOyMRLP3Y,VaPskPZAYZs,JoBRbtAnbVM,Ir82jewhXCo,Woman00802.wav,Man00105.wav
264,H31uyimDD_E,8yAhFWq1t3Y,7PcPXHohlzs,47c0LES3y5U,CVLqZyUwqv8,xseL3oZc7pY,Woman00540.wav,Man00949.wav
265,cCuacgIQ-vg,fkRrXaT3OWw,3drO62zPG-0,2PAkS3Ky7Bs,mFcHGbnNtSQ,6-CMq6xw0fg,Woman00324.wav,Man00369.wav
266,JtP8N7vPFV0,E1jzhgNU-ig,2E6RerMXMWc,3RLDeQRv4dg,KzvdKLdBw3s,sgJT5lIFttM,Woman00409.wav,Man00899.wav
267,POK8ikub0lk,AhVt5zUPC2I,1n17WkAV7Fg,4bOYK2vxYCA,lZavPVn7O4Q,JDBu-3VCyWc,Woman00295.wav,Man00276.wav
268,47qviOA6uSQ,yoekLYUT1hE,7MrvGplu5Wo,t5NMuLwCUZ4,kgvx9drZXpk,DaiVfxATCEE,Woman00007.wav,Man00433.wav
269,a8yLurn87M4,A8X9hnS23RA,-RjDS0MiAGY,7N-k0FFMK6g,9UD7qz7DuVY,s25X6KwBpxw,Woman00725.wav,Man00475.wav
270,BLv0MnM4x_Y,3r-61P3WM8U,14-FcqWJ500,40H1Vh6i9LI,75UH33tO0Bo,UC_XpUcIQ_8,Woman00492.wav,Man00712.wav
271,zdPLclTR__U,-NFotJsxRCI,-4MJNZDXuek,3lloCRX6rV8,CaCjiFUL6Fg,tQ1Nl4Dy2aI,Woman00100.wav,Man00999.wav
272,-Ekd-_5e29c,x0MAIECH7J0,5TFxl0gt604,Wa6yOhME4gM,2vQTq4QLP8U,iS8YQGp2_ng,Woman00482.wav,Man00506.wav
273,Kv3LJ4F52oc,v0C9rQ2SILI,720iq39XO4g,1MUHq3_1-Vw,Wnl0qbVynL4,hpiFoinUgvY,Woman00902.wav,Man00126.wav
274,Xa5hhWJCuIg,-zQlrlKh8SY,3OY2o_gZoVw,0qs8OjDvSI4,GwTXkfuc5v8,In44gO8Ej90,Woman00900.wav,Man00997.wav
275,N4NfUnoAMN0,Bh8j7qJgKqs,45luvXv27JE,Q3sfbV8qmDY,iEMTTKA7NxU,L2-EGNKzUAQ,Woman00273.wav,Man00260.wav
276,4vKMsJgX6SE,4qLikddG2ok,r6IpmraH6uM,-MCWpaOHw7w,5P5XAclO8ko,7pYavsK9sPg,Woman00545.wav,Man00352.wav
277,3g-m3swppt0,1MDZysEe1bA,5cZuJHSXkIc,-mvvsZRv67g,RIpfb9LSFe8,3IYd8cCmUkQ,Woman01016.wav,Man00011.wav
278,8uSN1QB6OKM,ApkbTS2Fq_o,7RgbDxKbt6c,0asiSx6DZQ0,AcX6rAwFTiY,EzP7PB2x670,Woman00381.wav,Man00206.wav
279,auy_o-sbjS0,Hy-6yAxGytA,2X_ucfO1hIU,17iPt1k0Cfs,uAYPacrJnyQ,ccsgja0XsWE,Woman01010.wav,Man00761.wav
280,6x_4I8m0H_w,QV4WuONNxsA,2K2wiyPKw-w,a5is5AFCxGA,EUmfsCvmkgo,LWLLN9INTII,Woman00680.wav,Man00087.wav
281,G06MJLB6VCo,BQe6ZyIFt7s,4OU_RrC2LgU,2KjBvf3anf4,lwdDm3UO5WM,UJA5AWbt6HM,Woman00121.wav,Man00973.wav
282,WTX_UM1pBZg,LLtx1eSdO40,5ehVBnaDcUM,0mv4vLyR7bw,9Qd6AdTq3Ls,4Gow6qZcNZI,Woman00388.wav,Man00492.wav
283,i4o2QOtfxdQ,8kMtMUVOZAk,5ZRK9n7-B6I,Ynr_ZcIZPdA,yNIZaqTHUnc,RF3rog2YjYw,Woman00257.wav,Man00640.wav
284,-E2pYZgSAnA,2kgqusVK1zo,7J6orpy8Dos,1FKLi2FiPMQ,gRGiTueWUVI,d61plJ66vE8,Woman00360.wav,Man00249.wav
285,8RBiYz7NExE,z4z_CiRJgMo,509O98D9m30,7Kn0PWTqU2k,aWK9CcvOK9w,qwI32Si0ipE,Woman00011.wav,Man00302.wav
286,gvNB52yOdRA,VsNE-R5R9ZY,63ETNbtgw98,2WXhBDvRPmE,GQbytKkt0tg,vG0QJ3bjfqk,Woman00200.wav,Man00221.wav
287,suuXs-pSuKE,1E35uS6Zcr0,04VunrVmzOg,76OsU4vCcpU,ggBivmG6yHQ,3rbWoeUg9yo,Woman00779.wav,Man00923.wav
288,Ryne86X4j0Y,vc8AbPOi9uU,4c1r5MuxJCs,0y1wPrPh48g,bf8JlTKzOs8,dPCj4WhTZ3c,Woman00084.wav,Man00371.wav
289,74AGXLBcRXI,CAKLJuAn-TY,63h2fqinkuo,1itfL_Fb6hw,x1KyLxsnJY0,o2bqT0ZTz7E,Woman00949.wav,Man00545.wav
290,TLuWa2d9Z7c,BPocmCuNh4s,1awz2iQYsEs,59YNn0SxOFI,dh9XweTn6rI,rnOIXOGfSUE,Woman00619.wav,Man00237.wav
291,EDafYJ581i0,Sh4PNq5POWM,6UPjChmlio4,47ms5ynvDKw,6Si3eGkmmy8,86YDiQjYU1U,Woman00645.wav,Man00887.wav
292,6HTH0CeC29k,1svXxbckGtQ,0xiMXsiqTx0,3fkI96snN30,Hp-lgcs4VXY,b2-izZk5_BM,Woman00246.wav,Man00372.wav
293,Wlt63JX2hf0,54UVSjy_rVc,6poQTjodYCM,4hjuqExppHQ,9rgB0wKU1-g,jZi0VVWt72E,Woman00894.wav,Man00875.wav
294,LmXAMW0asww,2zRroz7AaXg,0-nQBojy5C0,2V2Urr4XyuQ,Dv21JlCT4_k,piyYJ2l_h8Q,Woman00217.wav,Man00980.wav
295,R_6Efikd9pU,raxZQ29sGbI,-16_B0uPU6E,5TQUSuBjNMI,0RcMzUdXDRQ,Q6G1XGwd-rM,Woman00907.wav,Man00990.wav
296,3gL-av1-BUA,21sWzaEDQcc,-Aby8HOzs0Q,0eqYW5QxdIE,N_LKZjw9DLk,QK-mjNg8cPo,Woman00785.wav,Man00375.wav
297,vOYckcMr-e8,T15j-t-e7EM,tZ59k1G1-h4,-g-X7azPfSY,hlHb9HwNxk8,4LZSSya3ZZQ,Woman00869.wav,Man00791.wav
298,k1K0UI9-B-I,BSpnq3UfHj4,Jw3sQeUYjgw,hu4v4URxu_8,8DHtPopFvII,GQz_u0Vc8Os,Woman00233.wav,Man00882.wav
299,28ICk77U6rU,jseNHVLUylg,4Wt2YvZQKxc,75IDf44g5gg,iFSaNmZyPQo,VV85n-ebuUU,Woman00888.wav,Man00381.wav
300,cA90ja9Eark,FOEOfmNUAio,DA9Vv1OSQ-U,7PQC1VJrnPI,kKPGTMdz99A,KKgYvcfrxj4,Woman00983.wav,Man00009.wav
301,0G0b96-vK7s,B-db-DtwW-U,3U0bnpvhUtA,X-rZKHm0hug,xSDkn9PtQm0,P3ZPbGjHFXE,Woman00826.wav,Man00165.wav
302,ncIX6t-ThLQ,VpaZN5BFxaY,0cf3uEGaK58,1nSWGYTUOyU,MvnC1TfNiPY,r0I-G70gyo0,Woman00181.wav,Man00558.wav
303,j1-1eEY_c4E,Qi52eqc8kh8,6otj1o4Og8M,1gXXzvAD3xg,1RhYdQnZ_hw,YcWJUHWt-64,Woman00957.wav,Man00829.wav
304,JuEIkNoxbN4,PFqxyUhJL_g,5yXaXp9Fttc,22RAMYL_EgQ,mAmaUI7_uZ0,KTqf_FXZygM,Woman00965.wav,Man00498.wav
305,K931wxHTzCk,DTOSQEP9chM,1B0QuxFwmDI,7IptrZEgmnw,mq_b6QKVsuc,lHlOSsnP48c,Woman00495.wav,Man00598.wav
306,gp7x498MNv0,qy3t8dkHmLQ,1tS04ihMG88,zI7PY5StQYs,eISYX9koocM,92QYLjfo68Q,Woman00924.wav,Man00806.wav
307,VU8EqlreeQY,m592j2uc0cU,-GpHV1tgIh4,--KMCJIHwK4,ojdqgnmcgYM,Obtx-A9Lt5c,Woman00857.wav,Man00584.wav
308,tgWuoDY9UVc,WW41ihuJF3w,6plPNwGWNuI,46SqWZr4VcA,06Brdf83RZE,C4-mZ1jGQ-E,Woman00009.wav,Man00490.wav
309,IFi2TjB-DN0,fUhm5gOvsXM,-OaA0numun4,1BqXtJPGwVU,2SQxfaWAJJg,I06TOd9pXng,Woman00158.wav,Man00596.wav
310,_ONjC3LJuRM,uz_6CREfXEc,7G2-ppEm5ds,4K1WdYyXkKg,Bd9TjPP31U0,Aw2ctwyhe28,Woman00563.wav,Man00967.wav
311,1Pn8brsfZ0Y,5Oyf-DWdSVk,69GWCu585GQ,1i4qMXfuo6A,cbq6Q2htPRM,NnYfF7E12dk,Woman00549.wav,Man00715.wav
312,4LTY5Z_Sn4Y,PX3ZTht3GCI,0C4elojHh40,0XxTX0q0NLE,A8CJ4YSsUgs,hTAWbHXCJ2A,Woman00509.wav,Man00855.wav
